shaunaSHELLEY	1 more episode and then I'm caught up on the walking dead 👌
Prtalexia	RT @OITNB: Hello, curly haired people. #OITNB
JulieArdebol	RT @lerelou_: orange is the new black
MickeyBlack13	Why are shows that suck get so much credit?lost,breaking bad,walking dead,whatever else, empire. I get it they're supposed to be good, suck
araeropele	RT @UndeadWalkingFS: How would you caption/meme this photo? #twd #thewalkingdead http://twitter.com/UndeadWalkingFS/status/683782373809364992/photo/1
emily_louise111	I need to sleep but I can't stop watching prison break 😴👀
ajsweetsoap	RT @UndeadWalkingFS: How would you caption/meme this photo? #twd #thewalkingdead http://twitter.com/UndeadWalkingFS/status/683782373809364992/photo/1
Jubs_Pimentel	RT @rtsejaassistiu: the walking dead
FolaFuhrer	@NeededANewAt unlucky, I'm doing the same with narcos fired up.
wwdddtx	RT @UndeadWalkingFS: #twdfamily #TWD #thewalkingdead Poor Walker Chris P. The undead pervert. http://twitter.com/UndeadWalkingFS/status/683795162091368448/photo/1
ferreira_craig	If you want to experience the walking dead in real life just watch the return line at a Costco on a Sunday.
makaylaxmariee	prison break is my shit 😍😍
gagaclarity	RT @faveship: poussey and soso - orange is the new black http://twitter.com/faveship/status/648821923955085312/photo/1
gagaclarity	RT @faveship: flaca and maritza - orange is the new black http://twitter.com/faveship/status/647670078226366464/photo/1
louisweethings	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
gagaclarity	RT @faveship: piper and alex - orange is the new black http://twitter.com/faveship/status/641767450745307136/photo/1
kelsyjeannine	About to binge watch orange is the new black😜
suggsxclartini	RT @LauraPrepon: With my beautiful co-star @TaySchilling #OITNB http://twitter.com/LauraPrepon/status/393749036832129024/photo/1
RoyalDaKid1999	It's ironic the ink spots have the song don't get around much anymore when their songs are in the walking dead arrested development &fallout
_priyaaaaa	im so addicted to prison break
EyeLessJester	Two more episodes to go before I 100% complete the walking dead season 2.
cobecoldppl	I walked in and looked at the walking dead and walked right back out you got me all types of bent lol
PHC_ClanLyfe	Is the walking dead back on yet?
LRH0710	finally finishing orange is the new black, bye bye
erroryourmama	#breakingbad is SOOOOOOOO damn good!!
_MiniClappss	@chlo_fo_show_ sons of anarchy, breaking bad, dexter, gossip girl
amandinelchez	Je regarde orange is the new black
megan_hodgsonx	Trust my girlfriend - the walking dead to return to me on Valentine's Day aw
dave_brancheau	why this girl look like pensatucky from orange is the new black
chelseamccall_	my netflix constantly suggests gay/lesbian films bc all i watch is orange is the new black and the l word hahaha
RossTelford	@aaran711thorno @miriam__x you showed me prison break did you not 🤔
STYLESCONFUSA	RT @rtsetransaria: RT: the walking dead FAV: breaking bad http://twitter.com/rtsetransaria/status/683764608260272129/photo/1
rebeccamarie_x	No idea why I watch the walking dead, it's so stressful 😩😓🙈
dante_iannetta	narcos got me chillin
gracefulmuke	RT @rtifyouliike: the walking dead
leeaahmaariee	prison break is so friggin intense. ugghh.
cloudsnelle	RT @rtifyouliike: the walking dead
sharrodadams	Thought I was the only one who watched prison break 😂
devyn_rae30	we got my dad a toy cross bow bc he's obsessed w the walking dead and now he won't put it down
brothersidjits	RT @rtsejaassistiu: orange is the new black
haalllleeeeyyy	RT @2016rxsolutions: meet the the walking dead cast http://twitter.com/2016rxsolutions/status/683723219917008896/photo/1
_briananavarro_	I don't see Norman reedus as Daryl Dixon from the walking dead. I see him as Murphy MacManus from Boondocks Saints.
EdsonOliveiras_	RT @TwdCitou: the walking dead = curte supernatural = rt
Brooke_Ash11	Ugh the walking dead is so good. Just started season 6!
_AmandaGon	RT @TwdCitou: the walking dead = curte supernatural = rt
iamjanelin	RT @LauraPrepon: Happy Holidays from Litchfield! #OITNB https://twitter.com/OITNB/status/679426449070145536
remicashe	I forgot how good breaking bad is
breakingbad_bot	breakingbad_bot: SoloDolo07: ShayleeSloan32 better start breaking bad! You won't regret it!
JennaMonYoutube	RT @rtifyouliike: the walking dead
walkrrdead	Saudades the walking dead
cierraac_	just wanna snuggle and watch narcos 🙄
janinfoster	⠀⠀⠀ ⠀⠀⠀ Can't get enough Glaggie moments ;) ⠀⠀⠀ ⠀⠀⠀ #eternaltwd #thewalkingdead #twd #amcthewalkingdead #walkingdea… http://twitter.com/janinfoster/status/683834894196338688/photo/1
Jotapantojo	@drope98_ the walking dead
JazmineColeman_	RT @itss_tajanaee: #WhatIf the walking dead was real but it just hasn't got to us yet 😳 #TruRebels
Cheyenne_Meyers	@kaitlyn_xx_ prison break, you'll get hooked. It's so good
GegenUns	RT @queerships: alex and piper || orange is the new black http://twitter.com/queerships/status/643980429746413568/photo/1
shalinagrani	Cuando terminas de ver orange is the new black... My life doesn't make sense anymore😢
mag_lark	OBSESSED with @Wentworth im not going to say it is better than orange is the new black but maybe it is better than orange is the new black
rocelymolina14	RT @rtyourcharacter: carol peletier || the walking dead http://twitter.com/rtyourcharacter/status/662722106514247682/photo/1
RobertoAedoC	@Sodas6 house of cards, breaking bad, mad men, fargo, saludos!
megmooneyy	I'm re watching breaking bad #lit 🕯💡🔦
Sam_myers00	I've done nothing but watch prison break all day
TooSleptOn	I wish the walking dead was real. I think I'd fair better in that world...
tyromans116	@kassidy_brown1 dang lol yeah, i promise you, you'll like breaking bad lol
skylardesanti	RT @faveship: walter and jesse - breaking bad http://twitter.com/faveship/status/646254263987929088/photo/1
KB4threee	@jian_travis16 orange is the new black?
RaunchyRhianna	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
jordannneal	The part where Sarah and Michael meet back up on the boat in prison break is so precious😭
srhlt	saudades game of thrones, the walking dead, orange is the new black, how to get away with a murder saudades saudades.
tatiana_hrndz	RT @rtyourcharacter: glenn rhee || the walking dead http://twitter.com/rtyourcharacter/status/655726862291902464/photo/1
Clarissalozano4	I should stop watching orange is the new black and start my essay 😅
COLORlZED	RT @rturvgame: the walking dead season 2 http://twitter.com/rturvgame/status/644857252780740608/photo/1
Ishyy17	the walking dead is too much man ffs
Skilllogical	@FrenchhBread narcos if you havent already
Thestrays__	Necesito the walking dead para vivir
iamrainbowdance	นี่ดูthe walking dead #TeamSuperJunior https://twitter.com/Baiyok_ELF/status/683850424688848896
Toriiino	can't wait for a new season of orange is the new black
ZombotZRA	RT @SINISTER_SKULL: My zombie impression after watching the walking dead part beware #zombie #zombies… https://www.instagram.com/p/BAGeQlLkRYH/
nikitamxrie	Coloring and watching the walking dead with Matthew. This is real Netflix and chilling 🙂
imayamiranda	the walking dead 6
anais_yamilett	Gonna watch prison break all night😁
LydiaMayGreen	taking a lot of willpower to actually turn prison break off and try to sleep
TheGamerGod25	All the old cartoons on Nickelodeon, Jericho, original prison break sons a lot of shows https://twitter.com/femalemarley_/status/683834692437716993
semi_chocolate	Yo watching #OITNB with my straight mother is hella awkward
PercyGrover	RT @faveship: poussey and soso - orange is the new black http://twitter.com/faveship/status/648821923955085312/photo/1
dixonwpeletier	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
JennaLarcara19	RT @favechracter: stella carlin || orange is the new black http://twitter.com/favechracter/status/658432529758863360/photo/1
kellyclifford20	RT @rtsetransaria: RT: the walking dead FAV: breaking bad http://twitter.com/rtsetransaria/status/683764608260272129/photo/1
_nialloyd_	RT @faveship: flaca and maritza - orange is the new black http://twitter.com/faveship/status/647670078226366464/photo/1
mybelieberes	RT @rtsetransaria: RT: the walking dead FAV: breaking bad http://twitter.com/rtsetransaria/status/683764608260272129/photo/1
TurtleShell412	RT @sarah_renee32: This is the worst episode of all episodes of the walking dead. #Coda #BringBethBack
manuvntr	RT @favechracter: michonne || the walking dead http://twitter.com/favechracter/status/633351988714078208/photo/1
raekyl	I tried buying the walking dead since it was on sale, and I think I broke my steam lol oops
CallMeeBri_	Bet, I just have to finish prison break first. https://twitter.com/gotdamnaaliyah/status/683866077965594625
miicaelaaa_	RT @Rachellexx7: well spent weekend watching prison break with this babe 😂💁🏼💘 http://twitter.com/Rachellexx7/status/683867090785320961/photo/1
KaleSassbender	RT @faveship: piper and stella - orange is the new black http://twitter.com/faveship/status/645023704418643968/photo/1
kelsey_smxth	RT @AlyssaLasagna: catch me, Alyssa LaMagna starring in the new season of the walking dead tomorrow 7am in the cougar cafe! 📚😲
Angela_Suzie	Obsessed with prison break and I don't know why it took me forever to watch it
The_Ph3nomenon	@xo_Damage you forgot prison break #Choke
Marcusprz13	@michaelpina09 how I met your mother or narcos
_Braxwell	Gotta rewatch all five seasons of breaking bad before next Monday. I'm sure I can do it.
_rickea	that movie was good now Ima watch the walking dead till further notice .
WoahNah_Indoe	Hoes look like the walking dead without makeup
lexauregui	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/673227360246890497/video/1
siithlord	RT @faveship: flaca and maritza - orange is the new black http://twitter.com/faveship/status/647670078226366464/photo/1
ssssnell	Given up trying to sleep, gonna roll one up and watch narcos
alyssaveugeler	I suggest you all to watch narcos on Netflix, my mother got me addicted
_andersonn32	RT @rtifyouliike: the walking dead
sabrinamm99	RT @Michellexoxox3: Tomorrow school is gonna look like the walking dead
Bellabradleyy	All i do is eat and watch prison break so new year same me
_QueenBitch3	I started watching orange is the new black again just to see Ruby Rose 😂
calista_miles	Guess I'll struggle threw the beginning of breaking bad
cc0ldh3art	RT @rtsaddestdeaths: dale horvath || the walking dead http://twitter.com/rtsaddestdeaths/status/646605976876023808/photo/1
bansheestyIes	someone hire me for the walking dead, im an expert at the zombie thing
__AdamD	Monday morning vibes...waiting for the shop to open like a scene from the walking dead...
andrew503gillen	The weather can't stop us from being together and binge watching breaking bad. @CheyenneKellie3 http://twitter.com/andrew503gillen/status/683907237383770112/photo/1
RPerez6_	@Philly182 @Sdeezyyyyyy ^^ yeah about to say that, watch narcos Steve
JamusTF2	Today is going to feel like you are a member of the walking dead cast for practically everyone I think 💤😴
thatrebel12	RT @_Ortiz98_: Friends,that 70s show,breaking bad,Dexter and family guy are the best shows.
Faye1Kelsey	prison break https://twitter.com/mal_chavez/status/683914723687964672
bencmoi22061989	RT @JYHeffect: previously on amc's the walking dead https://instagram.com/p/-X6kCHS9xG/
ZaammnJazzy	Being smacked watching narcos is crazy. This is too intense for my life lol
el_kevinn19	RT @_honneyybee: narcos is fuckin good
Veee__o	I hate the walking dead fuck this shit
cecille17c	RT @UndeadWalkingFS: Thank you @BattlingZombies for sharing some of our stories! #TWD #thewalkingdead #TWDFamily http://twitter.com/UndeadWalkingFS/status/683924673676075008/photo/1
Vintage_Lunar	When Nicky fucks that overly annoying talkative Asian chick... One of my favorite moments. #OITNB
ActuallyImWeird	RT @TheArcelJ: Still waiting for season 4. Never knew that dying is a side effect of waiting. #Vauseman #OITNB http://twitter.com/TheArcelJ/status/683921457219383296/photo/1
merlinodavud	@UndeadWalkingFS @WalkingDeadShow cool show on AMC called the walking dead
ViperioHybrid	@vFlared that would prison break :)
ActuallyImWeird	RT @sooy96: I just finished binge watching #OITNB and now I don't know what to do with my life
melanicamille	RT @rtyourcharacter: glenn rhee || the walking dead http://twitter.com/rtyourcharacter/status/655726862291902464/photo/1
Kristymariex33	RT @Michellexoxox3: Tomorrow school is gonna look like the walking dead
cass3214	prison break is the best show ever. don't argue.
iamruthrosario	I watch too much narcos Pablo Escobar even be in my dreams
emiliakresi	don't know wether to watch prison break or to listen to music
Aprilll_Mariee	Ew the last one is clearly an extra from the walking dead...her name is ZOMBIE 7 https://twitter.com/kingpolo_/status/550825811973259264
kbdias29	Meu Deus , the walking dead a solta
madeharryin	RT @rtsetransaria: RT: the walking dead FAV: breaking bad http://twitter.com/rtsetransaria/status/683764608260272129/photo/1
cinajag	RT @LincolnClutter: This is hilarious who ever did this. Go on AMC to watch me kick some ass on the walking dead http://twitter.com/LincolnClutter/status/491607864289792002/photo/1
Miyah__Xoxo	Omg this the last episode of prison break 😭
Walkingdelrey	I don't know what this tweet will be about but I love Lana and the walking dead and I'm ugly and I love people and cake is good too hey
Sambammm_	Need to start watching orange is the new black & parks and rec on Netflix
coffeeshopmovie	Hey Jack Walter  thanks for the follow! check out #LGBTQ comedy "The Coffee Shop" on #amazon Edvin Ortega fr #OITNB
OnAshtonsBooty	RT @2016rxsolutions: meet the the walking dead cast http://twitter.com/2016rxsolutions/status/683723219917008896/photo/1
greatsince78	1st season of breaking bad is so perfect
HAMPSH1RE	RT @favechracter: piper chapman || orange is the new black http://twitter.com/favechracter/status/645649857378697216/photo/1
breakingbad_bot	breakingbad_bot: breakingbad_bot: breakingbad_bot: breakingbad_bot: saaaammmmyy: Why have I waited this long to start breaking bad?! #addic…
TitiCastellanos	Sigo viendo the walking dead
herbalheartt	i want the walking dead back
4therrr	the walking dead.. SO good so far😍
smoIfond	the walking dead https://twitter.com/askingurself/status/663346536999477249
SureshMKothari	RT @gonviev: i can't handle the episode of breaking bad where Walt let's Jane die it fucking kills me
walkrsblood	RT @damnitnorman: faltam 41 dias para the walking dead http://twitter.com/damnitnorman/status/683950684090314752/photo/1
marylaurxnz	I want to start watching orange is the new black :(
allisonmarisy	First night having Netflix after renewing it and I stayed up until 3:30 for #OITNB
mezlmao	@biblicalboyd lool I went on a streak of watching the walking dead series 1-5 in like 2 weeks everyday 7-8 eps per day
silviaortbas	RT @yourfavmale: rick grimes ((the walking dead)) http://twitter.com/yourfavmale/status/650726242573021184/photo/1
awaldron11	guess who will be the walking dead today!!! 🙋🏼🙋🏼🙋🏼
MynamesJ0y	3AM and I'm watching the walking dead ?
dylanhead23	School today is gonna be like an episode of the walking dead
luanargk	I've just watched episode S01E05 of Orange Is the New B...! http://www.tvshowtime.com/show/264586/episode/4550334?ref=a29c1db32da98cc9cdbb86224cc7fffb #OITNB #tvshowtime http://twitter.com/luanargk/status/683980637439717377/photo/1
narryinbeaniesx	RT @shaunjrivers: orange is the new black is another one those series when an episode finishes you HAVE to watch the next one, there's no o…
AlSVicious	RT @favechracter: poussey washington || orange is the new black http://twitter.com/favechracter/status/638542729279090688/photo/1
CcLDN_	RT @_Larnss: Empire power prison break PLL all coming back this year 😭🔥
romeyrofilms	FANS OF THE WALKING DEAD #fansoftwd #thewalkingdead #twd #carl #carlgrimes http://ift.tt/1OuGFRE http://twitter.com/romeyrofilms/status/683987961042583553/photo/1
preponxual	RT @netflix: Sometimes things just fall into place. #That70sShow #OITNB http://twitter.com/netflix/status/646367885976207360/photo/1
HarsimOfficer	Ouch funny breaking bad animation https://twitter.com/funnygifdump/status/369985606971314176
steven_yeun	RT @rtyourcharacter: rick grimes || the walking dead http://twitter.com/rtyourcharacter/status/648164833616003072/photo/1
stonecoldpiper	First day of 2016 back to the grindstone 😖 #OITNB http://twitter.com/stonecoldpiper/status/683991828799066113/photo/1
prongslwt	guys should i start watching the walking dead, i feel like im joining it a little late though
kellyboltR5	RT @heartxfdemi: the walking dead | can you feel my heart + cc- charizzaard (Vine by @addisonsamelia) https://vine.co/v/ibHTiXXhIVB
isadoraablanco	viciei em orange is the new black
infwooskii	RT @simkunggyu: the walking dead korean ver. http://twitter.com/simkunggyu/status/683995319181291520/photo/1
redhotislife	RT @tvshowsbloopers: the walking dead http://twitter.com/tvshowsbloopers/status/683376946546343936/video/1
jauregosaur	RT @rtyourcharacter: lorna morello || orange is the new black http://twitter.com/rtyourcharacter/status/665680334542020608/photo/1
Inspirit_BuYong	RT @simkunggyu: the walking dead korean ver. http://twitter.com/simkunggyu/status/683995319181291520/photo/1
lullabylrh	@jetbaIckhearts it was the night we were basically in the walking dead
Don_ElCholo	@shutupfgs_ narcos or vikings 10/10
KaliMills	@935wichita I binge watched prison break!!
_Kyliiiiie_	just really wanna be back on the couch watching breaking bad....
FiiffaRodriguez	RT @rtyourcharacter: tasha "taystee" jefferson || orange is the new black http://twitter.com/rtyourcharacter/status/675861947330510848/photo/1
nrtkhtykaa	Kenapa iflix takde the walking dead 😒
ForeverKid_17	Viendo ahs , juego de tronos , modern family, orange is the new black, star wars,harry potter....
Samu_Oliveira36	The Walking Dead in #streaming , all seasons in HD! http://walking-dead-streaming.net #twd #thewalkingdead #walkingdead #twdstreaming
Malcomking71	@GlobalGrind wow is there any order there narcos at its best I pray for her family
PinkWolf2205	RT @stonecoldpiper: First day of 2016 back to the grindstone 😖 #OITNB http://twitter.com/stonecoldpiper/status/683991828799066113/photo/1
AsTroooynaut	dexter or breaking bad 🤔
alwaysbabs	RT @2016rxsolutions: meet the the walking dead cast http://twitter.com/2016rxsolutions/status/683723219917008896/photo/1
janinfoster	So excited for these to start this year!! #gameofthrones #daredevil #marvel #gotham #batman #thewalkingdead #fearth… http://twitter.com/janinfoster/status/684016100573638656/photo/1
gbbiet	Now I have finished prison break and breaking bad, I can't find anything good on Netflix... It's like my life has no meaning 🙃😂💔
nipplesandpizza	RT @rtsaddestdeaths: dale horvath || the walking dead http://twitter.com/rtsaddestdeaths/status/646605976876023808/photo/1
dragirwindown	breaking bad https://twitter.com/temrporaryfix/status/683754081068920833
lifelovekitilia	RT @rtyourcharacter: lorna morello || orange is the new black http://twitter.com/rtyourcharacter/status/665680334542020608/photo/1
KaylumAvon	What makes ppl think it's cool to have the same car as the narcos
jaureguizone	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/678078437962211328/video/1
kay_corin	I love orange is the new black. Like why did I just now start watching this ?
comaguurl	American horror story, the walking dead oder supernatural anfangen?
srishtimodgil	RT @rtyourcharacter: daryl dixon || the walking dead http://twitter.com/rtyourcharacter/status/647876483269197824/photo/1
likegarrett	RT @favechracter: stella carlin || orange is the new black http://twitter.com/favechracter/status/658432529758863360/photo/1
mayroselucy	RT @faveship: piper and alex - orange is the new black http://twitter.com/faveship/status/641767450745307136/photo/1
Prettirosee	RT @doeneseya: I feel like the walking dead. 💀
StephanieGarve1	RT @HayleeAndFamily: Just now watching the walking dead! I have refused to believe it's over 😭
NaaoOrellana	Me encanta breaking bad
gruhngey	what i should've done today: study for multiple tests and prepare a presentation what i did: finished the walking dead
ChaniBby	I've been dying to watch breaking bad
taylorschillin	RT @rtcharacters: alex vause || orange is the new black http://twitter.com/rtcharacters/status/648278232022810624/photo/1
KayXoXo_	RT @lurkinSINCE86: Waitin on season 2 of narcos
hgfanpage13	RT @rtyourcharacter: glenn rhee || the walking dead http://twitter.com/rtyourcharacter/status/655726862291902464/photo/1
thewalkingreys	RT @rtyourcharacter: glenn rhee || the walking dead http://twitter.com/rtyourcharacter/status/655726862291902464/photo/1
httpstaga	RT @TaySchilling: Fish and chips with @AlanCarr tonight. Litchfield in London @thedanieb @LauraPrepon @JasonBiggs #OITNB http://t.co/bRtYOL…
sexwithvauseman	RT @favechracter: alicia clark || fear the walking dead http://twitter.com/favechracter/status/648658167749038080/photo/1
TinyFeisty1	@bghtwo You utilize your time well I'm talking about the ones who escape like a prison break...goes YEARS without seeing the child.
nerofeh	Tem 2 atores de the walking dead nesse filme http://amzn.to/1NNrem7 https://twitter.com/bocahsingkong/status/684069756282912768
dolansupremo	duas doida vendo the walking dead
niallmilkovich	I'm cold and I wanna watch prison break
melaniiii__	@Marditokarma the walking dead
__pap3rdreams	RT @OITNB: Hello, curly haired people. #OITNB
ste_besty	Only finished prison break and all ready addicted to top boy another sick serious
ALLCAPSVDEOGAME	the walking dead game // who lives who dies who tells your story ; hamilton http://twitter.com/ALLCAPSVDEOGAME/status/684075801860554752/photo/1
lionheart67	RT @LauraPrepon: So honored for us to be nominated for a Golden Globe! 🍊🍊💋#OITNB #alexvause #goldenglobe https://www.instagram.com/p/_HoQH_m6zA/
summerbiebslove	RT @rtfavfemale: alicia clark / fear the walking dead http://twitter.com/rtfavfemale/status/646006598893178880/photo/1
sennamanda	terminei breaking bad, me sinto vazia
enestataroglum	The Walking Dead in #streaming , all seasons in HD! http://walking-dead-streaming.net #twd #thewalkingdead #walkingdead #twdstreaming
SlovesHoney136	@wwwbigbaldhead I LOVE the walking dead😍 I never had a crush on a man who is 30 years older than me😂👏 Can u may follow me? #304
LideGontz99	RT @OITNB: Hello, curly haired people. #OITNB
MeganCo36936254	Had to ban Michael from watching the walking dead because he keeps biting me, why is he a child 🖕🏻
JeonJiyoonit	RT @OITNB: Anything for you. #OITNB http://twitter.com/OITNB/status/684086005893169153/photo/1
fifthseduzs	RT @OITNB: Anything for you. #OITNB http://twitter.com/OITNB/status/684086005893169153/photo/1
cduren25	RT @OITNB: Anything for you. #OITNB http://twitter.com/OITNB/status/684086005893169153/photo/1
LidiaSalba	RT @favechracter: beth greene || the walking dead http://twitter.com/favechracter/status/640014918163517440/photo/1
LindaaMorinigo	Miss you two @TaySchilling @LauraPrepon😍 #PiperAndAlex #OITNB https://twitter.com/OITNB/status/684086005893169153
leiresofar	RT @favechracter: glenn rhee || the walking dead http://twitter.com/favechracter/status/638537803895341056/photo/1
qkuc	RT @rtcharacters: alex vause || orange is the new black http://twitter.com/rtcharacters/status/648278232022810624/photo/1
JennaTWDDD	RT @OITNB: Anything for you. #OITNB http://twitter.com/OITNB/status/684086005893169153/photo/1
liIacbadlands	RT @rtcharacters: nick clark || fear the walking dead http://twitter.com/rtcharacters/status/681527782627799041/photo/1
avrilpisa	acho que eu vou terminar fear the walking dead
schnubbi_biene7	RT @OITNB: Anything for you. #OITNB http://twitter.com/OITNB/status/684086005893169153/photo/1
tastetesthowell	@doddleoddle watch the walking dead
keryn_malofy	RT @ashlikescats_: I had been watching the walking dead since 8 last night until 7 tonight so 23 hours and I have no regrets
TwitchersNews	RT @BunchofGuff: Evening-Continuing with The Walking Dead, We will begin Episode 2 http://Twitch.tv/bunchofguff #twitch #thewalkingdead #Support…
jdbsshawn	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
DougMaffia	God I love prison break
2koolBrolik17	RT @gabyzunigafu: Just started... #narcos
joaovitor_gm	@diferentonabr @roger_branda0 "orange is the new black" KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
itsrisoflora	RT @OITNB: Love you, Vause. #OITNB http://twitter.com/OITNB/status/679017465108557824/photo/1
Bea_Maccagno	RT @nashasdrug: di che parla 'the orange is the new black'?
myraloveslouis	RT @Harry_Styles: "I would absolutely prefer an episode of breaking bad, a snooze or some corn flakes."
DaCunhaTilinha	RT @Harry_Styles: "I would absolutely prefer an episode of breaking bad, a snooze or some corn flakes."
Abnormal_Wizz	@Naughty_Dog you should make the walking dead game and I think it's a good idea as last of us was really touching
purposure	RT @rtsejaassistiu: the walking dead
FazhaanAhmed	just started watching breaking bad when mum put the dinner down now manna get chittar.
yopashton	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
shostarcee	I don't believe that they're gona make a new season of prison break is it true
disconnectedl0u	RT @2016rxsolutions: meet the the walking dead cast http://twitter.com/2016rxsolutions/status/683723219917008896/photo/1
lucystewarttt	faf the fly episode of breaking bad, seen it so many times and still choke for it
Shepherd_Courts	How am I meant to do work when I'm now addicted to prison break
GalaxyConnors	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/678078437962211328/video/1
breakingbad_bot	breakingbad_bot: breakingbad_bot: breakingbad_bot: JoeHarris__: Need to hurry up and finish breaking bad, want to start narcos
barbell_bound	Jehovah witnesses are like zombies off the walking dead. They travel in groups and nobody wants them at their door
dxbrevsmolder	@hugforthorne the 100 for sure then, mr robot, the walking dead
sharmanftlouis	RT @rtsaddestdeaths: beth greene || the walking dead http://twitter.com/rtsaddestdeaths/status/646733639598907392/photo/1
JustMarjiie	RT @faveship: beth and daryl - the walking dead http://twitter.com/faveship/status/642643378669162496/photo/1
about_ju	Enjoei de the orange is the new black affff
marvelousnerd	alias ahs: asylum quantico the walking dead agents of shield https://twitter.com/xadamsvoice/status/684087497844994048
eleven_after	who ai and fan the walking dead
_ameliabradley	RT @WalkinDeadReact: when someone goes on about the walking dead and they're wrong about everything http://twitter.com/TheWalkingHumor/status/672605551713366016/photo/1
rainyset	um shawn's song was just on the breaking bad commercial
claflobrien	breaking bad https://twitter.com/assxfobrien/status/684110103734300674
PaddyPaving	@huskyok I have watched all the latest shows lol and watched dexter twice and breaking bad and prison break I love series though
Angl_Grmx	RT @WalkinDeadReact: when someone goes on about the walking dead and they're wrong about everything http://twitter.com/TheWalkingHumor/status/672605551713366016/photo/1
diamonds_with	RT @faveship: carol and daryl - the walking dead http://twitter.com/faveship/status/642843161979580416/photo/1
neroholics	RT @whosblair: Sobre orange is the new black http://twitter.com/whosblair/status/609243591316242432/photo/1
michaelatley	RT @Team0Epiphany: Enjoying this forced vacation :) got to watch the hobbit catch up on the walking dead and finally got to play the taken …
allllispence	I have the day off, it's raining, and all I want to do is rewatch breaking bad
SeanK_	Im basically the walking dead... I have never been this sick.... Please lord, save me! Please! 🤒💀
sxbliminvl	RT @AnnualKat: Sub always ditches me to watch prison break, he's addicted I swear🙄
NeverLewinsky	RT @OITNB: Anything for you. #OITNB http://twitter.com/OITNB/status/684086005893169153/photo/1
jess_staines	i didnt think i was that into the walking dead, turns out i am as im on season 2 without realising.
kilgravennant	Me enjoei tanto de the walking dead
GeeknFreakStore	RT @OITNB: Anything for you. #OITNB http://twitter.com/OITNB/status/684086005893169153/photo/1
LeviMahony	@Donovan_Clodagh start narcos/bloodline you're #welcome
erinhussey_	prison break makes me feel some type of way
williamrobertg1	RT @Team0Epiphany: Enjoying this forced vacation :) got to watch the hobbit catch up on the walking dead and finally got to play the taken …
VAUSECOCAINE	RT @OITNB: Anything for you. #OITNB http://twitter.com/OITNB/status/684086005893169153/photo/1
fckmeprepon	RT @OITNB: Anything for you. #OITNB http://twitter.com/OITNB/status/684086005893169153/photo/1
wahoofan5	@JerianGrant narcos on Netflix or Man In the High Castle on Amazon. Long episodes, short seasons
isabelaofiicial	the walking dead StartingC1RTour
Alevicky30	Netflix and chill 💕💕 #narcos 😏😏
youngvolcanhoes	Moi quand j'regarde trop the walking dead #france3
cass_levin	RT @rtyourcharacter: andrea || the walking dead http://twitter.com/rtyourcharacter/status/662258449036812289/photo/1
ElectronikFArts	@Cobryza well i say that because i saw "zombies" as what is in like the walking dead the tv show. not weird creatures. but its just me.
AnnabelxWillis	I know i should go to sleep but I really want to watch orange is the new black, ugh
_jakemitchell	Finally starting to get the big deal with breaking bad, it's only took me 2 and half seasons to get into it
ChrisJames253	so i've finally finished breaking bad, it's only the 3rd time i've watched all of it😂😂
mrskaidoc	I've just watched episode S01E08 of Narcos! #narcos http://www.tvshowtime.com/show/282670/episode/5292349?ref=b53a4e40fdc65801afc15a53a2c7c0a0
Celend_	Goal this year: Re-watch breaking bad :^)
Aura_CptMaxx	@Vas1sco @Roysterr_ narcos of sons of anarchy
ForTheLoveOfPus	@ItsDasiaVu never seen breaking bad 👀. Literally it's a bio on Escobar but without the boring ass documentary feeling
DorchesterSwift	@Shordyyyy_ narcos is better. Lol but go head baby do ya thang😏😘
megeensmith	throwback to grad day when me and Miranda laid in her bed and watched orange is the new black for like 2 hours before we had to graduate
_ClarySantos	To assistindo breaking bad e to gostando
gracesm2001	RT @Louis_Tomlinson: Fear the walking dead is siiiiiiiiiick !! Shits about to kick off !!
AmyMarie67755	Honestly don't know if I can wait until February 14th for the walking dead to come back on
dunne13	7 episodes of narcos in one day #intense
slaysica	@Hyotastic I hope prison life is like orange is the new black
whatsensate	the walking dead https://twitter.com/jkrowring/status/684151775650299904
GeauxSavy	RT @OITNB: Happy Holidays from Litchfield. 🎅 #OITNB https://amp.twimg.com/v/b7164d3b-53be-48e2-b030-8adf0e82c53c
wayfmjkey	RT @rtsaddestdeaths: sophia peletier || the walking dead http://twitter.com/rtsaddestdeaths/status/648186243189198848/photo/1
DOUBASHl	RT @ALLCAPSVDEOGAME: the walking dead game // who lives who dies who tells your story ; hamilton http://twitter.com/ALLCAPSVDEOGAME/status/684075801860554752/photo/1
